Postal Code,City,District
22285,Udamadura,Nuwara Eliya
22287,Teripeha,Nuwara Eliya
300,Colombo 03,Colombo
30000,Batticaloa,Trincomalee
30016,Kannankudah,Trincomalee
30022,Pillaiyaradi,Trincomalee
30024,Thannamunai,Trincomalee
30100,Kattankudy,Trincomalee
30150,Araipattai,Trincomalee
30158,Puthukudiyiruppu,Trincomalee
30160,Kokkaddichcholai,Trincomalee
30162,Ampilanthurai,Trincomalee
30194,Cheddipalayam,Trincomalee
30196,Thettativu,Trincomalee
30200,Kaluwanchikudi,Trincomalee
30204,Vellavely,Trincomalee
30206,Bakiella,Trincomalee
30220,Mandur,Trincomalee
30230,Periyaporativu,Trincomalee
30234,Thirupalugamam,Trincomalee
30236,Thikkodai,Trincomalee
30250,Kallar,Trincomalee
30254,Thuraineelavanai,Trincomalee
30300,Eravur,Trincomalee
30350,Chenkaladi,Trincomalee
30352,Pankudavely,Trincomalee
30354,Karadiyanaru,Trincomalee
30358,Periyapullumalai,Trincomalee
30362,Ayithiyamalai,Trincomalee
30364,Unnichchai,Trincomalee
30372,Kaluwankemy,Trincomalee
30376,Vantharumoolai,Trincomalee
30400,Valaichenai,Trincomalee
30410,Kalkudah,Trincomalee
30420,Oddamavadi,Trincomalee
30424,Vakaneri,Trincomalee
30428,Punanai,Trincomalee
30442,Mankemi,Trincomalee
30444,Panichankemi,Trincomalee
30450,Vakarai,Trincomalee
31000,Trincomalee,Batticaloa
31006,Sampaltivu,Batticaloa
31016,Tiriyayi,Batticaloa
31026,Gomarankadawala,Batticaloa
31028,Buckmigama,Batticaloa
31032,Kanniya,Batticaloa
31034,Pankulam,Batticaloa
31036,Mahadivulwewa,Batticaloa
31038,Rottawewa,Batticaloa
31046,Tampalakamam,Batticaloa
31050,Chinabay,Batticaloa
31053,Vellamanal,Batticaloa
31100,Kinniya,Batticaloa
31106,Maharugiramam,Batticaloa
31200,Mutur,Batticaloa
31212,Kaddaiparichchan,Batticaloa
31216,Sampur,Batticaloa
31222,Somapura,Batticaloa
31224,Mallikativu,Batticaloa
31226,Dehiwatte,Batticaloa
31232,Serunuwara,Batticaloa
31234,Lankapatuna,Batticaloa
31236,Echchilampattai,Batticaloa
31238,Mawadichenai,Batticaloa
31250,Toppur,Batticaloa
31260,Seruwila,Batticaloa
31300,Kantale,Batticaloa
31304,Agbopura,Batticaloa
31306,KantalaiSugarFactory,Batticaloa
31308,Wanela,Batticaloa
31312,Mullipothana,Batticaloa
31314,Sirajnagar,Batticaloa
31318,Galmetiyawa,Batticaloa
32000,Ampara,Ampara
32006,Deegawapiya,Ampara
32008,Digamadulla,Ampara
32010,Hingurana,Ampara
32014,Damana,Ampara
32016,Madawalalanda,Ampara
32018,Mahanagapura,Ampara
32022,Pannalagama,Ampara
32024,Bakmitiyawa,Ampara
32031,Paragahakele,Ampara
32032,Polwaga Janapadaya,Ampara
32034,Pahalalanda,Ampara
32038,Devalahinda,Ampara
32039,Wadinagala,Ampara
32046,Dadayamtalawa,Ampara
32048,Siyambalawewa,Ampara
32050,Central Camp,Ampara
32060,Uhana,Ampara
32064,Gonagolla,Ampara
32066,Galapitagala,Ampara
32068,Rajagalatenna,Ampara
32069,Mangalagama,Ampara
32070,Mahaoya,Ampara
32072,Tempitiya,Ampara
32100,Padiyatalawa,Ampara
32101,Serankada,Ampara
32104,Dorakumbura,Ampara
32120,Nawa Medagama,Ampara
32126,Damanewela,Ampara
32150,Dehiattakandiya,Ampara
32155,Siripura,Ampara
32158,Mawanagama,Ampara
32198,Malwatta,Ampara
32200,Samanthurai,Ampara
32280,Sainthamaruthu,Ampara
32300,Kalmunai,Ampara
32300,Sainthamaruthu,Ampara
32314,Marathamune,Ampara
32316,Periyaneelavanai,Ampara
32340,Nintavur,Ampara
32350,Addalaichenai,Ampara
32354,Palamunai,Ampara
32360,Oluvil,Ampara
32400,Akkaraipattu,Ampara
32405,Kannakipuram,Ampara
32415,Thambiluvil,Ampara
32420,Thirukkovil,Ampara
32420,Tirukovil,Ampara
32450,lmkkamam,Ampara
32454,Wanagamuwa,Ampara
32500,Pottuvil,Ampara
32508,Panama,Ampara
32512,Labunoruwa,Ampara
32514,Hulannuge,Ampara
400,Colombo 04,Colombo
40000,Jaffna,Jaffna
40250,Kirana Hill,Jaffna
41000,Mannar,Mannar
42000,Mullativu,Other
43000,Vavuniya,Vavuniya
44000,Kilinochchi,Other
500,Colombo 05,Colombo
50000,Anuradhapura,Anuradhapura
50004,Perimiyankulama,Anuradhapura
50006,Galkadawala,Anuradhapura
50008,Saliyapura,Anuradhapura
50012,Viharapalugama,Anuradhapura
50014,Elayapattuwa,Anuradhapura
50016,Tantirimale,Anuradhapura
50020,Pemaduwa,Anuradhapura
50022,Mahawilachchiya,Anuradhapura
50029,Pandulagama,Anuradhapura
50036,Gnanikulama,Anuradhapura
50042,Sravasthipura,Anuradhapura
50044,Hidogama,Anuradhapura
50046,Nachchaduwa,Anuradhapura
50055,Parasangahawewa,Anuradhapura
50057,Gambirigaswewa,Anuradhapura
50062,Kurundankulama,Anuradhapura
50064,Galkulama,Anuradhapura
50067,Uttimaduwa,Anuradhapura
50068,Sivalakulama,Anuradhapura
50072,Tirappane,Anuradhapura
50080,Maradankadawala,Anuradhapura
50086,Walagambahuwa,Anuradhapura
50100,Kekirawa,Anuradhapura
50104,Tammennawa,Anuradhapura
50110,Vijithapura,Anuradhapura
50111,Palagala,Anuradhapura
50112,Andiyagala,Anuradhapura
50120,Galkiriyagama,Anuradhapura
50122,Pubbogama,Anuradhapura
50124,Halmillawa,Anuradhapura
50126,Maha Elagamuwa,Anuradhapura
50130,Madatugama,Anuradhapura
50142,Ganewalpola,Anuradhapura
50144,Palugaswewa,Anuradhapura
50150,Habarana,Anuradhapura
50169,Awukana,Anuradhapura
50170,Galnewa,Anuradhapura
50174,Kalankuttiya,Anuradhapura
50176,Hurigaswewa,Anuradhapura
50182,Maneruwa,Anuradhapura
50184,Siyambalewa,Anuradhapura
50196,Mahabulankulama,Anuradhapura
50200,Nochchiyagama,Anuradhapura
50206,Pahala Halmillewa,Anuradhapura
50207,Udunuwara Colony,Anuradhapura
50210,Galadivulwewa,Anuradhapura
50212,Ranorawa,Anuradhapura
50214,Dunumadalawa,Anuradhapura
50220,Pahala Maragahawe,Anuradhapura
50222,Horiwila,Anuradhapura
50224,Gemunupura,Anuradhapura
50226,Kalaoya,Anuradhapura
50230,Talawa,Anuradhapura
50232,Karagahawewa,Anuradhapura
50236,Malwanagama,Anuradhapura
50240,Tambuttegama,Anuradhapura
50242,Telhiriyawa,Anuradhapura
50244,Pahalagama,Anuradhapura
50246,Rajanganaya,Anuradhapura
50259,Kiralogama,Anuradhapura
50260,Eppawala,Anuradhapura
50262,lhala Halmillewa,Anuradhapura
50270,Mahailluppallama,Anuradhapura
50280,lpologama,Anuradhapura
50282,Kagama,Anuradhapura
50284,Senapura,Anuradhapura
