Postal Code,City
60300,Weuda
60304,Metikumbura
60306,Talawattegedara
60308,Aragoda
60312,Panaliya
60314,Yatigaloluwa
60318,Wadakada
60330,Pothuhera
60344,Maspotha
60347,Bamunukotuwa
60348,Panadaragama
60350,Katupotha
60400,Wariyapola
60404,Malagane
60410,Kobeigane
60414,Hengamuwa
60416,Alahengama
60422,Kanattewewa
60424,Bandara Koswatta
60426,Tuttiripitigama
60430,Hettipola
60434,Mandapola
60436,Sunandapura
60437,Boraluwewa
60439,Pihimbiya Ratmale
60441,Halmillawewa
60450,Bingiriya
60453,Tisogama
60454,Weerapokuna
60458,Hiruwalpola
60461,Padeniya
60462,Awulegama
60465,Wannigama
60470,Nikaweratiya
60472,Divullegoda
60474,Hulogedara
60476,Thimbiriyawa
60477,Hulugalla
60478,Sirisetagama
60479,Mahagirilla
60484,Meewellawa
60485,Digannewa
60486,Hilogama
60490,Wannirasnayakapura
60492,Kadigawa
60495,Monnekulama
60499,Torayaya
60500,lbbagamuwa
60508,Kumbukgeta
60512,Maeliya
60514,Makulpotha
60516,Mahamukalanyaya
60518,Periyakadneluwa
60522,Gokaralla
60530,Dodangaslanda
60532,Maduragoda
60540,Melsiripura
60544,Diddeniya
60546,Hiriyala Lenawa
60552,Madahapola
60554,Pansiyagama
60558,Panliyadda
60570,Wellawa
60572,Thalwita
60578,Makulwewa
60580,Nikadalupotha
60582,Hunupola
60584,Thambagalla
60600,Maho
60602,Karambe
60604,Balalla
60606,Ridibendiella
60612,Medivawa
60620,Polpitigama
60622,Ulpotha Pallekele
60624,Thalakolawewa
60646,Siyambalangamuwa
60650,Ambanpola
60700,Galgamuwa
60704,Palukadawala
60706,Ataragalla
60712,Gallewa
60714,Makulewa
60716,Ehetuwewa
60718,Embogama
60721,Wannikudawewa
60722,Wannilhalagama
60724,Mahananneriya
60731,Mahagalkadawala
60734,Tambutta
60735,Pahalagiribawa
60736,Saliya Asokapura
60737,Solepura
60738,Solewewa
60739,Warawewa
60750,Meegalawa
60752,Girathalana
61000,Chilaw
61004,Udappuwa
61012,Adippala
61018,Ilippadeniya
61024,Ambakandawila
61042,Serukele
61110,Waikkal
61130,Dankotuwa
61136,Bujjampola
61138,Lihiriyagama
61144,Yogiyana
61150,Lunuwila
61154,Ihala Kottaramulla
61162,Pothuwatawana
61170,Wennappuwa
61170,Wennapuwa
61180,katuneriya
61190,Nattandiya
61192,Dunkannawa
61198,Watugahamulla
61210,Marawila
61220,Mahawewa
61224,Toduwawa
61230,Madampe
61233,Galmuruwa
61234,Panirendawa
61236,Kakkapalliya
61238,Bangadeniya
61242,Rajakadaluwa
61246,Battuluoya
61262,Baranankattuwa
61264,Angunawila
61266,Mangalaeliya
61270,Madurankuliya
61272,Mahakumbukkadawala
61280,Palaviya
61300,Puttalam
61302,Ismailpuram
61306,Vanathawilluwa
61308,Eluwankulama
61312,Sirambiadiya
61316,Ihala Puliyankulama
61322,Tabbowa
61324,Saliyawewa Junction
61326,PuttalamCementFactory
61328,Attawilluwa
61341,Mampuri
61342,Norachcholai
61343,Ettale
61344,Talawila Church
61354,Palliwasalturai
61358,Kandakuliya
61360,Kalpitiya
61500,Anamaduwa
61502,Uridyawa
61504,Siyambalagashene
61508,Andigama
61512,Mahauswewa
61514,Inginimitiya
61520,Nawagattegama
61534,Kalladiya
700,Colombo 07
70000,Ratnapura
70001,Malwala Junction
70002,Gillimale
70004,Sri Palabaddala
70012,Hidellana
70016,Kahangama
70017,Dodampe
70019,Dambuluwana
70021,Medagalatur
70024,Ayagama
70026,Gawaragiriya
70032,Elapatha
70034,Udaniriella
70036,Ratna Hangamuwa
70041,Marapana
70042,Dela
70044,Udakarawita
70045,Pebotuwa
70046,Delwala
70056,Lellopitiya
70062,Gallella
70070,Pelmadulla
70080,Opanayaka
70082,Akarella
70100,Balangoda
70101,Talakolahinna
70105,Hatangala
70106,Handagiriya
70108,Hatarabage
70112,Mahawalatenna
70116,Rajawaka
70118,Tanjantenna
70122,Kaltota
70127,Meddekanda
70130,Pinnawala
70131,Bolthumbe
70133,Pambagolla
70134,lmbulpe
70135,Rassagala
70136,Gurubewilagama
70138,Waleboda
70140,Belihuloya
70142,Samanalawewa
70144,Ihalagama
70145,Halpe
70150,Kahawatta
70152,Panapitiya
70154,Udaha Hawupe
70156,Gabbela
70158,Madalagama
70160,Godakawela
70162,Ranwala
70164,Hapugastenna
70170,Pallebedda
70171,Halwinna
70180,Kolambageara
70190,Udawalawe
70195,Gangeyaya
70200,Embilipitiya
70205,Tunkama
70215,Omalpe
70218,Panamura
70230,Padalangala
70250,Sewanagala
70254,Ekamutugama
70256,Mahagama Colony
70294,Atakalanpanna
70296,Hiramadagama
70298,Makandura Sabara
70300,Rakwana
70332,Demuwatha
70338,Pothupitiya
70342,Ittakanda
70344,Bomluwageaina
70345,Ullinduwawa
70346,Bulutota
70348,Vijeriya
70400,Nivithigala
70404,Doloswalakanda
70408,Watapotha
70450,Kalawana
70455,Daugala
70456,Waturawa
70459,Veddagala
70461,Panapola
70472,Pimbura
70480,Kiriella
70482,Matuwagalagama
70492,Ellagawa
70495,Dumbara Manana
70500,Kuruwita
70502,Sudagala
70504,Batatota
70506,Eratna
70512,Teppanawa
70550,Parakaduwa
70552,Ellaulla
70556,Godagampola
70600,Eheliyagoda
70602,Erepola
70606,Ellawala
70612,Panawala
70620,Getahetta
71000,Kegalle
71009,Deldeniya
71014,Hiriwadunna
71022,Deewala Pallegama
71029,Yattogoda
71034,Damunupola
71035,Watura
71037,Debathgama
71039,Pothukoladeniya
71041,Aruggammana
71044,Beligala(Sab)
71046,Helamada
71050,Dewalegama
71055,Imbulgasdeniya
71060,Nelundeniya
71062,Tuntota
71063,Mahapallegama
71100,Rambukkana
71105,Parape
71106,Thotawella
71108,Hewadiwela
71113,Udagaldeniya
71115,Dombemada
71116,Yatagama
71130,Pattampitiya
71200,Undugoda
71202,Kabagamuwa
71204,Alawatura
71208,Bossella
71210,Hettimulla
71211,Maharangalla
71222,Gantuna
71230,Bulathkohupitiya
71232,Ampagala
71236,Udapotha
71237,Dedugala
71300,Ruwanwella
71303,Wahakula
71304,Waharaka
71312,Galpatha(Sab)
71313,Imbulana
71315,Lewangama
71318,Gonagala
71320,Amitirigala
71321,Batuwita
71325,Malmaduwa
71326,Yatapana
71350,Galigamuwa
71352,Hakahinna
71360,Pitagaldeniya
71363,Atale
71370,Kotiyakumbura
71372,Kannattota
71400,Dehiowita
71401,Deloluwa
71403,Anhettigama
71411,Maliboda
71417,Hinguralakanda
71418,Boralankada
71430,Deraniyagala
71500,Mawanella
71503,Ambulugala
71505,Galatara
71507,Makehelwala
71508,Alutnuwara
71510,Ussapitiya
71520,Hingula
71521,Udumulla
71527,Dewanagala
71530,Hemmatagama
71540,Aranayaka
71541,Talgaspitiya
71546,Ambalakanda
71600,Warakapola
71601,Dorawaka
71603,Galapitamada
71605,Dunumala
71607,Algama
71610,Tulhiriya
71619,Tholangamuwa
71700,Yatiyantota
71702,Weeoya
71704,Malalpola
71706,Berannawa
71708,Seaforth Colony
71715,Hakbellawaka
